date,close,volume,open,high,low
12/22/2015,51.32,6833635,53.4,53.8,51.23
12/21/2015,55.09,4947890,57.4,58.5,55
12/18/2015,56.91,7774852,53.925,58.8,52.34
12/17/2015,57.26,9921089,56.94,58.87,55.35
12/16/2015,53.69,17777120,46.35,55.29,46.05
12/15/2015,40.05,6978004,41.13,44.5,39.1
12/14/2015,41.59,5392454,37.1,42,37.05
12/11/2015,37.04,3222978,36.21,37.8,36
12/10/2015,36.65,2094526,35.4,37.2,35.2
12/9/2015,35.84,2587853,34.62,37.2,34.32
12/8/2015,34.62,4559680,34.63,35.395,31.3
12/7/2015,35.9,3013884,35.85,37.45,35.6
12/4/2015,35.99,2813075,36,37,34.86
12/3/2015,36.24,7997049,34.69,37.95,34.69
12/2/2015,34.35,7419341,31.13,34.6,30.71
12/1/2015,31.39,4322406,28.69,31.45,28.62
11/30/2015,28.76,2301129,29.98,30.01,28.35
11/27/2015,29.87,2345953,29.26,31.5691,29.24
11/25/2015,29.26,1562509,28.01,29.464,28.01
11/24/2015,28.57,2711811,28.22,28.85,27.68
11/23/2015,28.21,4468833,29,29.35,27.92
11/20/2015,29.04,3895155,28.86,29.68,28.52
11/19/2015,28.7,4927138,27.47,28.85,27.08
11/18/2015,27.75,6372124,26.87,27.79,26.01
11/17/2015,26,5334370,27.87,28.09,25.58
11/16/2015,27.84,5284382,26.27,27.95,25.33
11/13/2015,25.85,3784774,24.69,26.3,24.64
11/12/2015,25.07,3393194,26.07,26.33,24.91
11/11/2015,26.15,6639466,26.45,26.5,24.0699
11/10/2015,26.46,5320060,27.83,27.89,25.44
11/9/2015,27.89,3048975,29.13,29.4,27.8
11/6/2015,29.05,3768847,29.48,29.84,28.88
11/5/2015,29.72,2600185,30,30.11,29.04
11/4/2015,29.8,5026062,30.85,31.85,29.7
11/3/2015,30.17,8091005,29.49,31.885,29
11/2/2015,29.44,11222890,29.96,29.98,28.12
10/30/2015,29.65,26317550,30.98,31.55,28.11
10/29/2015,38.07,5355434,38.68,39.17,37.56
10/28/2015,38.34,2507518,37.54,38.51,37.4
10/27/2015,37.96,2989367,38.45,38.87,36.43
10/26/2015,38.84,1813418,39.27,39.55,38.5
10/23/2015,39.24,2361893,39.6,40.03,38.73
10/22/2015,38.9,2626642,38.18,39.47,37.7549
10/21/2015,38.05,2834815,39.76,40.28,38.01
10/20/2015,39.39,3450909,41.05,41.5799,39.05
10/19/2015,41.28,4902622,41.69,43.39,40.11
10/16/2015,44.16,2698765,46.38,46.8,43.9
10/15/2015,46.65,1376579,46.91,47.7,46.06
10/14/2015,46.85,1159225,46.93,47.83,46.61
10/13/2015,47.03,1873384,47.65,48.59,46.855
10/12/2015,48.05,1329423,48.95,49,47.07
10/9/2015,48.94,1523115,47,49.38,46.84
10/8/2015,47.11,1720559,47.35,47.5,45.91
10/7/2015,47.34,1887059,46.9,48.33,46.22
10/6/2015,47.28,1549131,47.09,48.25,46.55
10/5/2015,47.22,5789539,46.56,47.89,46.4
10/2/2015,46.38,1946748,42.5,46.49,42.2
10/1/2015,43.23,1662331,42.62,43.9,41.22
9/30/2015,42.71,1355730,41.74,42.87,41.2214
9/29/2015,41.04,1429887,40.53,42.3,40.17
9/28/2015,40.34,2071013,40.99,41.25,39.6
9/25/2015,41.33,3134773,43.85,44,41
9/24/2015,42.99,3430290,43.92,44.16,40.9
9/23/2015,43.78,2590140,47.41,47.89,43.69
9/22/2015,47.44,1042290,47.37,47.89,46.62
9/21/2015,47.9,1285173,48.24,48.88,47.32
9/18/2015,48.09,1722370,48.02,48.92,47.81
9/17/2015,48.5,1277967,48.02,49.65,47.52
9/16/2015,48.2,1595913,48.83,49.98,48.06
9/15/2015,48.97,1274031,48.09,49.39,47.81
9/14/2015,48.07,1207750,47.99,48.665,47.02
9/11/2015,48.14,822136,47.55,48.9499,47.45
9/10/2015,48.12,1070884,46.93,48.33,46.49
9/9/2015,47.11,2391387,50.09,50.395,47
