symbol,date,close,volume,open,high,low
TSLA,12/22/2015,229.95,1958836,234.99,236.55,229.63
TSLA,12/21/2015,232.56,1951581,231.69,235.83,231.08
TSLA,12/18/2015,230.46,3008057,232.89,235.9,229.29
TSLA,12/17/2015,233.39,3294460,233.94,237.76,229.8149
TSLA,12/16/2015,234.51,5100443,222.1,234.88,220.73
TSLA,12/15/2015,221.09,2241686,221.82,222.22,218
TSLA,12/14/2015,218.58,2827797,217.51,220.92,214.87
TSLA,12/11/2015,217.02,3259114,225.24,225.75,216.64
TSLA,12/10/2015,227.07,2070088,224.71,228.49,223.64
TSLA,12/9/2015,224.52,3057036,226.7,227.5,220.72
TSLA,12/8/2015,226.72,2682259,227.52,228.8,224.2
TSLA,12/7/2015,231.13,3140864,227.7,235.63,226.15
TSLA,12/4/2015,230.38,2572014,232.46,233.27,227.66
TSLA,12/3/2015,232.71,2937233,235.48,237.45,230
TSLA,12/2/2015,231.99,2980644,237,238.6,231.23
TSLA,12/1/2015,237.19,3728562,231.06,238,231.05
TSLA,11/30/2015,230.26,2591205,231.79,234.28,229.08
TSLA,11/27/2015,231.61,1949353,231.06,232.25,227.01
TSLA,11/25/2015,229.64,3986945,221.34,230.825,220.375
TSLA,11/24/2015,218.25,2478389,215.37,221,215
TSLA,11/23/2015,217.75,2525196,217.35,219.18,214.6798
TSLA,11/20/2015,220.01,4394199,223.49,225,213.58
TSLA,11/19/2015,221.8,2499593,220.54,226.19,220.3
TSLA,11/18/2015,221.07,2810200,214.5,221.38,212.52
TSLA,11/17/2015,214,2148326,215.2,216,211.4
TSLA,11/16/2015,214.31,2920362,206.09,214.98,205.8
TSLA,11/13/2015,207.19,3423139,212.95,212.99,206.52
TSLA,11/12/2015,212.94,2913511,217.85,219,212.66
TSLA,11/11/2015,219.08,3337501,217.77,219.48,213.63
TSLA,11/10/2015,216.5,4612408,223.48,223.7,216.08
TSLA,11/9/2015,225.33,3846179,232.99,232.99,224.31
TSLA,11/6/2015,232.36,2444264,230.7,233.359,229.5
TSLA,11/5/2015,231.77,4494944,230.58,234.5843,229.19
TSLA,11/4/2015,231.63,12713530,227,232.74,225.2
TSLA,11/3/2015,208.35,8065091,213.85,214.44,207.75
TSLA,11/2/2015,213.79,3924514,208.92,215.8,207.22
TSLA,10/30/2015,206.93,4432433,210.4,211.63,203.89
TSLA,10/29/2015,211.63,1794743,211.75,213.7481,210.64
TSLA,10/28/2015,212.96,2726880,211.31,213.45,208.3
TSLA,10/27/2015,210.35,3512832,214.84,217.1,207.51
TSLA,10/26/2015,215.26,3388227,211.38,215.88,210
TSLA,10/23/2015,209.09,4226411,215,215.35,207.69
