Year,Month/2015,State,Utility Number,Utility Name,Data Status,Residential,Commercial,Industrial,Transportation,Total_Capacity_MW
2015,1,AZ,57313,SolarCity Corporation,Preliminary,117.267,40.231,0.000,0.000,157.498
2015,1,AZ,59139,SunEdison LLC,Preliminary,0,19.448,0,0,19.448
2015,1,AZ,59579,Sunnova,Preliminary,4.862,0,0,0,4.862
2015,1,AZ,59580,"SunPower Capital, LLC",Preliminary,35.092,0,0,0,35.092
2015,1,AZ,59624,"Vivint Solar, Inc.",Preliminary,1.840,0.000,0.000,0.000,1.840
2015,1,AZ,59647,Sunrun Inc.,Preliminary,6.353,0,0,0,6.353
2015,1,CA,57313,SolarCity Corporation,Preliminary,255.934,80.488,0.000,0.000,336.422
2015,1,CA,59139,SunEdison LLC,Preliminary,0,72.037,0,0,72.037
2015,1,CA,59557,RGS Energy,Preliminary,0.215,0,0,0,0.215
2015,1,CA,59579,Sunnova,Preliminary,15.504,0,0,0,15.504
2015,1,CA,59580,"SunPower Capital, LLC",Preliminary,109.017,0,0,0,109.017
2015,1,CA,59624,"Vivint Solar, Inc.",Preliminary,75.499,0.000,0.000,0.000,75.499
2015,1,CA,59647,Sunrun Inc.,Preliminary,154.803,0,0,0,154.803
2015,1,CO,57313,SolarCity Corporation,Preliminary,40.634,9.261,0.000,0.000,49.895
2015,1,CO,59139,SunEdison LLC,Preliminary,0,9.183,0.102,0,9.285
2015,1,CO,59579,Sunnova,Preliminary,0.102,0,0,0,0.102
2015,1,CO,59580,"SunPower Capital, LLC",Preliminary,7.779,0,0,0,7.779
2015,1,CO,59647,Sunrun Inc.,Preliminary,7.280,0,0,0,7.280
2015,1,CT,57313,SolarCity Corporation,Preliminary,10.779,4.669,0.000,0.000,15.448
2015,1,CT,59139,SunEdison LLC,Preliminary,0,3.866,0,0,3.866
2015,1,CT,59579,Sunnova,Preliminary,0.246,0,0,0,0.246
2015,1,CT,59647,Sunrun Inc.,Preliminary,1.478,0,0,0,1.478
2015,1,DC,57313,SolarCity Corporation,Preliminary,0.599,0.000,0.000,0.000,0.599
2015,1,DC,59647,Sunrun Inc.,Preliminary,0.029,0,0,0,0.029
2015,1,DE,57313,SolarCity Corporation,Preliminary,2.097,0.413,0.000,0.000,2.510
2015,1,DE,59647,Sunrun Inc.,Preliminary,0.959,0,0,0,0.959
2015,1,FL,57313,SolarCity Corporation,Preliminary,1.197,0.000,0.000,0.000,1.197
2015,1,FL,59139,SunEdison LLC,Preliminary,0,1.516,0,0,1.516
2015,1,GA,59139,SunEdison LLC,Preliminary,0,5.230,0,0,5.230
2015,1,GU,59579,Sunnova,Preliminary,0.306,0,0,0,0.306
2015,1,HI,57313,SolarCity Corporation,Preliminary,9.731,15.609,0.000,0.000,25.340
2015,1,HI,59139,SunEdison LLC,Preliminary,0,8.102,0,0,8.102
2015,1,HI,59579,Sunnova,Preliminary,0.502,0,0,0,0.502
2015,1,HI,59580,"SunPower Capital, LLC",Preliminary,3.064,0,0,0,3.064
2015,1,HI,59624,"Vivint Solar, Inc.",Preliminary,19.396,0.000,0.000,0.000,19.396
2015,1,HI,59647,Sunrun Inc.,Preliminary,10.735,0,0,0,10.735
2015,1,IN,59579,Sunnova,Preliminary,0.020,0,0,0,0.020
2015,1,LA,59579,Sunnova,Preliminary,0.120,0,0,0,0.120
2015,1,MA,57313,SolarCity Corporation,Preliminary,20.701,2.632,0.000,0.000,23.333
2015,1,MA,59139,SunEdison LLC,Preliminary,0,13.589,0,0,13.589
2015,1,MA,59579,Sunnova,Preliminary,0.514,0,0,0,0.514
2015,1,MA,59580,"SunPower Capital, LLC",Preliminary,1.956,0,0,0,1.956
2015,1,MA,59624,"Vivint Solar, Inc.",Preliminary,20.071,0.000,0.000,0.000,20.071
2015,1,MA,59647,Sunrun Inc.,Preliminary,14.593,0,0,0,14.593
2015,1,MD,57313,SolarCity Corporation,Preliminary,25.690,5.903,0.000,0.000,31.593
2015,1,MD,59139,SunEdison LLC,Preliminary,0,8.387,0,0,8.387
2015,1,MD,59579,Sunnova,Preliminary,0.050,0,0,0,0.050
2015,1,MD,59624,"Vivint Solar, Inc.",Preliminary,17.780,0.000,0.000,0.000,17.780
2015,1,MD,59647,Sunrun Inc.,Preliminary,0.768,0,0,0,0.768
2015,1,ME,57313,SolarCity Corporation,Preliminary,0.000,1.015,0.000,0.000,1.015
2015,1,MO,59579,Sunnova,Preliminary,0.015,0,0,0,0.015
2015,1,NJ,57313,SolarCity Corporation,Preliminary,17.853,0.447,0.000,0.000,18.300
2015,1,NJ,59139,SunEdison LLC,Preliminary,0,55.438,1.380,0,56.818
2015,1,NJ,59579,Sunnova,Preliminary,7.879,0,0,0,7.879
2015,1,NJ,59580,"SunPower Capital, LLC",Preliminary,7.133,0,0,0,7.133
2015,1,NJ,59624,"Vivint Solar, Inc.",Preliminary,17.052,0.000,0.000,0.000,17.052
2015,1,NJ,59647,Sunrun Inc.,Preliminary,16.176,0,0,0,16.176
2015,1,NM,57313,SolarCity Corporation,Preliminary,0.015,3.113,0.000,0.000,3.128
2015,1,NM,59579,Sunnova,Preliminary,0.435,0,0,0,0.435
2015,1,NV,57313,SolarCity Corporation,Preliminary,4.334,0.336,0.000,0.000,4.670
2015,1,NV,59139,SunEdison LLC,Preliminary,0,1.165,0,0,1.165
2015,1,NV,59579,Sunnova,Preliminary,1.721,0,0,0,1.721
2015,1,NV,59647,Sunrun Inc.,Preliminary,0.770,0,0,0,0.770
2015,1,NY,57313,SolarCity Corporation,Preliminary,25.433,1.808,0.000,0.000,27.241
2015,1,NY,59139,SunEdison LLC,Preliminary,0,5.929,0,0,5.929
2015,1,NY,59579,Sunnova,Preliminary,0.273,0,0,0,0.273
2015,1,NY,59624,"Vivint Solar, Inc.",Preliminary,17.815,0.000,0.000,0.000,17.815
2015,1,NY,59647,Sunrun Inc.,Preliminary,14.588,0,0,0,14.588
2015,1,OH,57313,SolarCity Corporation,Preliminary,0.000,5.015,0.000,0.000,5.015
2015,1,OR,57313,SolarCity Corporation,Preliminary,12.228,7.383,0.000,0.000,19.611
2015,1,OR,59139,SunEdison LLC,Preliminary,0,2.248,0,0,2.248
2015,1,PA,57313,SolarCity Corporation,Preliminary,0.592,0.081,0.000,0.000,0.673
2015,1,PA,59139,SunEdison LLC,Preliminary,0,8.772,0,0,8.772
2015,1,PA,59579,Sunnova,Preliminary,0.018,0,0,0,0.018
2015,1,PA,59580,"SunPower Capital, LLC",Preliminary,0.638,0,0,0,0.638
2015,1,PA,59647,Sunrun Inc.,Preliminary,0.583,0,0,0,0.583
2015,1,PR,57313,SolarCity Corporation,Preliminary,0.000,0.645,0.000,0.000,0.645
2015,1,PR,59139,SunEdison LLC,Preliminary,0,5.627,0,0,5.627
2015,1,PR,59579,Sunnova,Preliminary,1.954,0,0,0,1.954
2015,1,TX,57313,SolarCity Corporation,Preliminary,6.665,11.262,0.000,0.000,17.927
2015,1,TX,59139,SunEdison LLC,Preliminary,0,0.677,0,0,0.677
2015,1,TX,59579,Sunnova,Preliminary,0.074,0,0,0,0.074
2015,1,VT,59580,"SunPower Capital, LLC",Preliminary,2.227,0,0,0,2.227
2015,1,WA,57313,SolarCity Corporation,Preliminary,0.519,0.000,0.000,0.000,0.519
2015,1,WI,59139,SunEdison LLC,Preliminary,0,0.477,0,0,0.477
2015,2,AZ,57313,SolarCity Corporation,Preliminary,122.696,40.231,0.000,0.000,162.930
2015,2,AZ,59139,SunEdison LLC,Preliminary,0,19.448,0,0,19.448
2015,2,AZ,59579,Sunnova,Preliminary,5.121,0,0,0,5.121
2015,2,AZ,59580,"SunPower Capital, LLC",Preliminary,35.937,0,0,0,35.937
2015,2,AZ,59624,"Vivint Solar, Inc.",Preliminary,2.568,0.000,0.000,0.000,2.568
2015,2,AZ,59647,Sunrun Inc.,Preliminary,7.069,0,0,0,7.069
2015,2,CA,57313,SolarCity Corporation,Preliminary,267.894,80.832,0.000,0.000,348.720
2015,2,CA,59139,SunEdison LLC,Preliminary,0,72.037,0,0,72.037
2015,2,CA,59557,RGS Energy,Preliminary,0.275,0,0,0,0.275
2015,2,CA,59579,Sunnova,Preliminary,17.626,0,0,0,17.626
2015,2,CA,59580,"SunPower Capital, LLC",Preliminary,111.991,0,0,0,111.991
2015,2,CA,59624,"Vivint Solar, Inc.",Preliminary,80.929,0.000,0.000,0.000,80.929
2015,2,CA,59647,Sunrun Inc.,Preliminary,160.441,0,0,0,160.441
2015,2,CO,57313,SolarCity Corporation,Preliminary,41.858,9.261,0.000,0.000,51.120
2015,2,CO,59139,SunEdison LLC,Preliminary,0,9.183,0.102,0,9.285
2015,2,CO,59579,Sunnova,Preliminary,0.102,0,0,0,0.102
2015,2,CO,59580,"SunPower Capital, LLC",Preliminary,7.779,0,0,0,7.779
2015,2,CO,59647,Sunrun Inc.,Preliminary,7.310,0,0,0,7.310
2015,2,CT,57313,SolarCity Corporation,Preliminary,11.531,4.669,0.000,0.000,16.200
2015,2,CT,59139,SunEdison LLC,Preliminary,0,3.866,0,0,3.866
2015,2,CT,59579,Sunnova,Preliminary,0.339,0,0,0,0.339
2015,2,CT,59647,Sunrun Inc.,Preliminary,1.621,0,0,0,1.621
2015,2,DC,57313,SolarCity Corporation,Preliminary,0.628,0.000,0.000,0.000,0.630
2015,2,DC,59647,Sunrun Inc.,Preliminary,0.298,0,0,0,0.298
2015,2,DE,57313,SolarCity Corporation,Preliminary,2.277,0.413,0.000,0.000,2.690
2015,2,DE,59647,Sunrun Inc.,Preliminary,0.979,0,0,0,0.979
2015,2,FL,57313,SolarCity Corporation,Preliminary,1.290,0.000,0.000,0.000,1.290
2015,2,FL,59139,SunEdison LLC,Preliminary,0,1.516,0,0,1.516
2015,2,GA,59139,SunEdison LLC,Preliminary,0,6.227,0,0,6.227
2015,2,GU,59579,Sunnova,Preliminary,0.569,0,0,0,0.569
2015,2,HI,57313,SolarCity Corporation,Preliminary,9.880,15.609,0.000,0.000,25.490
2015,2,HI,59139,SunEdison LLC,Preliminary,0,2.957,0,0,2.957
2015,2,HI,59579,Sunnova,Preliminary,0.583,0,0,0,0.583
2015,2,HI,59580,"SunPower Capital, LLC",Preliminary,3.152,0,0,0,3.152
2015,2,HI,59624,"Vivint Solar, Inc.",Preliminary,20.120,0.000,0.000,0.000,20.120
2015,2,HI,59647,Sunrun Inc.,Preliminary,11.285,0,0,0,11.285
2015,2,IN,59579,Sunnova,Preliminary,0.020,0,0,0,0.020
2015,2,LA,59579,Sunnova,Preliminary,0.133,0,0,0,0.133
2015,2,MA,57313,SolarCity Corporation,Preliminary,22.832,2.632,0.000,0.000,25.460
2015,2,MA,59139,SunEdison LLC,Preliminary,0,13.589,0,0,13.589
2015,2,MA,59579,Sunnova,Preliminary,0.624,0,0,0,0.624
2015,2,MA,59580,"SunPower Capital, LLC",Preliminary,1.956,0,0,0,1.956
2015,2,MA,59624,"Vivint Solar, Inc.",Preliminary,21.682,0.000,0.000,0.000,21.682
