date,close_FSLR,close_SCTY
11/17/2006,24.74,
11/20/2006,25,
11/21/2006,24.6,
11/22/2006,26.88,
11/24/2006,27.75,
11/27/2006,28.35,
11/28/2006,28.17,
11/29/2006,28.27,
11/30/2006,28.3,
12/1/2006,27.89,
12/4/2006,27.88,
12/5/2006,27.08,
12/6/2006,27.2,
12/7/2006,27.32,
12/8/2006,27.53,
12/11/2006,27.95,
12/12/2006,27.2,
12/13/2006,27.64,
12/14/2006,27.93,
12/15/2006,29.05,
12/18/2006,28.59,
12/19/2006,27.79,
12/20/2006,27.78,
12/21/2006,26.69,
12/22/2006,27.53,
12/26/2006,27.1,
12/27/2006,28.81,
12/28/2006,29.86,
12/29/2006,29.84,
1/3/2007,28.5,
1/4/2007,28.75,
1/5/2007,28.15,
1/8/2007,28.9,
1/9/2007,29.27,
1/10/2007,29.16,
1/11/2007,29.34,
1/12/2007,29.53,
1/16/2007,29.27,
1/17/2007,29.02,
1/18/2007,28.32,
1/19/2007,27.71,
1/22/2007,27.88,
1/23/2007,28.85,
1/24/2007,29.15,
1/25/2007,29.43,
1/26/2007,29.14,
1/29/2007,31.14,
1/30/2007,32.72,
1/31/2007,32.37,
2/1/2007,32.66,
2/2/2007,31.2,
2/5/2007,32.78,
2/6/2007,32.81,
2/7/2007,33.44,
2/8/2007,33.79,
2/9/2007,32.86,
2/12/2007,33.1,
2/13/2007,34.28,
2/14/2007,43.72,
2/15/2007,44.98,
2/16/2007,45.26,
2/20/2007,49.21,
2/21/2007,51.19,
2/22/2007,49.2,
2/23/2007,49.43,
2/26/2007,51.85,
2/27/2007,49.01,
2/28/2007,47.75,
3/1/2007,47.88,
3/2/2007,46.27,
3/5/2007,44.1301,
3/6/2007,46.3,
3/7/2007,47.62,
3/8/2007,51.87,
3/9/2007,52.06,
3/12/2007,57.91,
3/13/2007,53.72,
3/14/2007,54.46,
3/15/2007,52.69,
3/16/2007,51.52,
3/19/2007,52.5,
3/20/2007,52.3,
3/21/2007,54.5,
3/22/2007,58.14,
3/23/2007,58.25,
3/26/2007,57.01,
3/27/2007,55.44,
3/28/2007,54.5,
3/29/2007,53.2,
3/30/2007,52.01,
4/2/2007,55.89,
4/3/2007,55.75,
4/4/2007,57.29,
4/5/2007,56.46,
4/9/2007,57.51,
4/10/2007,60.15,
4/11/2007,62.23,
4/12/2007,62.91,
4/13/2007,61.258,
4/16/2007,64.9399,
4/17/2007,62.39,
4/18/2007,61.76,
4/19/2007,60.17,
4/20/2007,60.91,
4/23/2007,63.14,
4/24/2007,63.67,
4/25/2007,64.89,
4/26/2007,63.95,
4/27/2007,63.64,
4/30/2007,59.99,
5/1/2007,55.04,
5/2/2007,58.9,
5/3/2007,57.95,
5/4/2007,66.7,
5/7/2007,69.63,
5/8/2007,68.82,
5/9/2007,68.58,
5/10/2007,68.7,
5/11/2007,67.87,
5/14/2007,65.26,
5/15/2007,63.37,
5/16/2007,64.126,
5/17/2007,65.17,
5/18/2007,63.42,
5/21/2007,62.03,
5/22/2007,64.9,
5/23/2007,65.87,
5/24/2007,65.03,
5/25/2007,66.72,
5/29/2007,67.13,
5/30/2007,68.3,
5/31/2007,68.04,
6/1/2007,68.17,
6/4/2007,68.78,
