date,price,,
20121213,11.79,,
20121214,11.72,,
20121217,12.33,,
20121218,11.59,,
20121219,11.22,,
20121220,10.67,,
20121221,10.73,,
20121224,10.84,,
20121226,11.04,,10.67
20121227,11.29,,86.14
20121228,11.57,,
20121231,11.93,,
20130102,12.33,,
20130103,13.02,,
20130104,14.4,,
20130107,15.97,,
20130108,14.7319,,
20130109,15.65,,
20130110,15.76,,
20130111,15.5,,
20130114,14.59,,
20130115,13.72,,
20130116,13.98,,
20130117,15.21,,
20130118,15.92,,
20130122,16.034,,
20130123,15.8,,
20130124,16.01,,
20130125,15.49,,
20130128,15.63,,
20130129,15.04,,
20130130,14.6,,
20130131,14.62,,
20130201,15.17,,
20130204,14.72,,
20130205,15.09,,
20130206,15.3,,
20130207,15.48,,
20130208,15.13,,
20130211,16.67,,
20130212,18.185,,
20130213,17.64,,
20130214,18.43,,
20130215,17.77,,
20130219,18.51,,
20130220,18.84,,
20130221,19.07,,
20130222,18.9,,
20130225,18.54,,
20130226,17.4,,
20130227,17.3,,
20130228,18.11,,
20130301,18.16,,
20130304,18.23,,
20130305,18.55,,
20130306,19.27,,
20130307,16.49,,
20130308,16.31,,
20130311,16.94,,
20130312,16.74,,
20130313,16.9,,
20130314,16.6,,
20130315,16.74,,
20130318,16.94,,
20130319,17.04,,
20130320,17.43,,
20130321,17.59,,
20130322,18.19,,
20130325,18.54,,
20130326,18.89,,
20130327,18.9,,
20130328,18.88,,
20130401,19.36,,
20130402,19.05,,
20130403,18.99,,
20130404,18.35,,
20130405,18.23,,
20130408,18.97,,
20130409,20.14,,
20130410,20.46,,
20130411,20.38,,
20130412,19.97,,
20130415,18.56,,
20130416,19.73,,
20130417,19.29,,
20130418,20.14,,
20130419,20.37,,
20130422,21.1,,
20130423,22.27,,
20130424,23.34,,
20130425,23.89,,
20130426,23.34,,
20130429,25.13,,
20130430,27.02,,
20130501,28,,
20130502,27.09,,
20130503,27,,
20130506,26.43,,
20130507,23.66,,
20130508,24.16,,
20130509,26.47,,
20130510,28.88,,
20130513,35.88,,
20130514,31.44,,
20130515,32.165,,
20130516,35.69,,
20130517,45,,
20130520,51.599,,
20130521,44.52,,
20130522,44.3,,
20130523,46.79,,
20130524,48.784,,
20130528,46.78,,
20130529,48.31,,
20130530,48.44,,
20130531,45.25,,
20130603,40.77,,
20130604,37,,
20130605,38.4,,
20130606,38.1,,
20130607,35.97,,
20130610,36.35,,
20130611,34.48,,
20130612,34.28,,
20130613,34.03,,
20130614,36.29,,
20130617,35.96,,
20130618,36.45,,
20130619,36.03,,
20130620,35.17,,
20130621,34.52,,
20130624,32.96,,
20130625,36.01,,
20130626,37.39,,
20130627,36.38,,
20130628,37.749,,
20130701,40.304,,
20130702,37.74,,
20130703,37.49,,
20130705,38.09,,
20130708,40.986,,
20130709,42.148,,
20130710,42.1,,
20130711,43.71,,
20130712,43.32,,
20130715,44.62,,
20130716,40.76,,
20130717,42.06,,
20130718,42.09,,
20130719,41.67,,
20130722,41.99,,
20130723,40.81,,
20130724,40.03,,
20130725,40.09,,
20130726,41.53,,
20130729,41.84,,
20130730,41.47,,
20130731,41.352,,
20130801,40.57,,
20130802,41.71,,
20130805,45.15,,
20130806,43.87,,
20130807,42.5,,
20130808,37.91,,
20130809,38.34,,
20130812,38.12,,
20130813,37.92,,
20130814,36.14,,
20130815,35.61,,
20130816,37.06,,
20130819,35.42,,
20130820,34.31,,
20130821,34.49,,
20130822,34.18,,
20130823,34.31,,
20130826,35,,
20130827,33.02,,
20130828,32.15,,
20130829,33.05,,
20130830,31.34,,
20130903,29.49,,
20130904,28.63,,
20130905,30.38,,
20130906,29.61,,
20130909,29.89,,
